date,cases_male_0-9,cases_male_10-19,cases_male_20-29,cases_male_30-39,cases_male_40-49,cases_male_50-59,cases_male_60-69,cases_male_70-79,cases_male_80-89,cases_male_90-,deaths_male_0-9,deaths_male_10-19,deaths_male_20-29,deaths_male_30-39,deaths_male_40-49,deaths_male_50-59,deaths_male_60-69,deaths_male_70-79,deaths_male_80-89,deaths_male_90-,cases_female_0-9,cases_female_10-19,cases_female_20-29,cases_female_30-39,cases_female_40-49,cases_female_50-59,cases_female_60-69,cases_female_70-79,cases_female_80-89,cases_female_90-,deaths_female_0-9,deaths_female_10-19,deaths_female_20-29,deaths_female_30-39,deaths_female_40-49,deaths_female_50-59,deaths_female_60-69,deaths_female_70-79,deaths_female_80-89,deaths_female_90-,cases_male_total,deaths_male_total,cases_female_total,deaths_female_total
2020-03-12,36.0,60.0,214.0,423.0,735.0,1359.0,1611.0,1916.0,1306.0,155.0,0.0,0.0,0.0,1.0,0.0,10.0,53.0,216.0,252.0,40.0,27.0,57.0,272.0,353.0,717.0,1033.0,744.0,886.0,794.0,230.0,0.0,0.0,0.0,0.0,1.0,4.0,12.0,57.0,103.0,35.0,7815.0,572.0,5113.0,212.0
2020-03-13,45.75,69.25,265.25,524.5,924.0,1677.5,1960.0,2302.25,1560.0,188.0,0.0,0.0,0.0,1.75,1.25,16.0,68.0,279.25,311.75,50.25,31.5,64.5,333.25,463.25,894.0,1275.25,904.5,1069.75,975.0,290.5,0.0,0.0,0.0,0.0,1.75,6.0,16.25,75.25,135.75,47.25,9516.5,728.25,6301.5,282.25
2020-03-14,55.5,78.5,316.5,626.0,1113.0,1996.0,2309.0,2688.5,1814.0,221.0,0.0,0.0,0.0,2.5,2.5,22.0,83.0,342.5,371.5,60.5,36.0,72.0,394.5,573.5,1071.0,1517.5,1065.0,1253.5,1156.0,351.0,0.0,0.0,0.0,0.0,2.5,8.0,20.5,93.5,168.5,59.5,11218.0,884.5,7490.0,352.5
2020-03-15,65.25,87.75,367.75,727.5,1302.0,2314.5,2658.0,3074.75,2068.0,254.0,0.0,0.0,0.0,3.25,3.75,28.0,98.0,405.75,431.25,70.75,40.5,79.5,455.75,683.75,1248.0,1759.75,1225.5,1437.25,1337.0,411.5,0.0,0.0,0.0,0.0,3.25,10.0,24.75,111.75,201.25,71.75,12919.5,1040.75,8678.5,422.75
2020-03-16,75.0,97.0,419.0,829.0,1491.0,2633.0,3007.0,3461.0,2322.0,287.0,0.0,0.0,0.0,4.0,5.0,34.0,113.0,469.0,491.0,81.0,45.0,87.0,517.0,794.0,1425.0,2002.0,1386.0,1621.0,1518.0,472.0,0.0,0.0,0.0,0.0,4.0,12.0,29.0,130.0,234.0,84.0,14621.0,1197.0,9867.0,493.0
2020-03-17,90.14285714285714,111.71428571428571,499.57142857142856,994.5714285714286,1792.4285714285716,3153.4285714285716,3569.285714285714,4032.0,2694.5714285714284,342.85714285714283,0.0,0.0,0.0,4.714285714285714,8.714285714285715,47.57142857142857,159.28571428571428,597.8571428571429,614.8571428571429,99.14285714285714,57.85714285714286,100.85714285714286,609.7142857142857,959.4285714285714,1731.7142857142858,2414.1428571428573,1674.4285714285716,1929.7142857142858,1814.0,582.0,0.0,0.0,0.0,0.42857142857142855,4.857142857142857,15.714285714285715,39.0,167.14285714285714,294.2857142857143,108.14285714285714,17280.571428571428,1532.142857142857,11873.857142857143,629.5714285714286
2020-03-18,105.28571428571428,126.42857142857143,580.1428571428571,1160.142857142857,2093.857142857143,3673.857142857143,4131.571428571428,4603.0,3067.142857142857,398.7142857142857,0.0,0.0,0.0,5.428571428571429,12.428571428571429,61.14285714285714,205.57142857142856,726.7142857142858,738.7142857142858,117.28571428571428,70.71428571428572,114.71428571428572,702.4285714285714,1124.857142857143,2038.4285714285716,2826.285714285714,1962.857142857143,2238.4285714285716,2110.0,692.0,0.0,0.0,0.0,0.8571428571428571,5.714285714285714,19.42857142857143,49.0,204.28571428571428,354.57142857142856,132.28571428571428,19940.142857142855,1867.2857142857142,13880.714285714286,766.1428571428571
2020-03-19,120.42857142857143,141.14285714285714,660.7142857142858,1325.7142857142858,2395.285714285714,4194.285714285714,4693.857142857143,5174.0,3439.714285714286,454.57142857142856,0.0,0.0,0.0,6.142857142857142,16.142857142857142,74.71428571428572,251.85714285714286,855.5714285714286,862.5714285714286,135.42857142857144,83.57142857142857,128.57142857142856,795.1428571428571,1290.2857142857142,2345.142857142857,3238.4285714285716,2251.285714285714,2547.142857142857,2406.0,802.0,0.0,0.0,0.0,1.2857142857142856,6.571428571428571,23.142857142857142,59.0,241.42857142857144,414.8571428571429,156.42857142857144,22599.714285714286,2202.4285714285716,15887.571428571428,902.7142857142858
2020-03-20,135.57142857142856,155.85714285714286,741.2857142857142,1491.2857142857142,2696.714285714286,4714.714285714286,5256.142857142857,5745.0,3812.285714285714,510.42857142857144,0.0,0.0,0.0,6.857142857142858,19.857142857142858,88.28571428571428,298.1428571428571,984.4285714285714,986.4285714285714,153.57142857142856,96.42857142857143,142.42857142857144,887.8571428571429,1455.7142857142858,2651.857142857143,3650.5714285714284,2539.714285714286,2855.857142857143,2702.0,912.0,0.0,0.0,0.0,1.7142857142857142,7.428571428571429,26.857142857142858,69.0,278.57142857142856,475.1428571428571,180.57142857142856,25259.285714285714,2537.5714285714284,17894.428571428572,1039.2857142857142
2020-03-21,150.71428571428572,170.57142857142856,821.8571428571429,1656.857142857143,2998.1428571428573,5235.142857142857,5818.428571428572,6316.0,4184.857142857143,566.2857142857142,0.0,0.0,0.0,7.571428571428571,23.571428571428573,101.85714285714286,344.42857142857144,1113.2857142857142,1110.2857142857142,171.71428571428572,109.28571428571429,156.28571428571428,980.5714285714286,1621.142857142857,2958.5714285714284,4062.714285714286,2828.1428571428573,3164.5714285714284,2998.0,1022.0,0.0,0.0,0.0,2.142857142857143,8.285714285714285,30.571428571428573,79.0,315.7142857142857,535.4285714285714,204.71428571428572,27918.85714285714,2872.714285714286,19901.285714285714,1175.857142857143
2020-03-22,165.85714285714286,185.28571428571428,902.4285714285714,1822.4285714285716,3299.5714285714284,5755.571428571428,6380.714285714286,6887.0,4557.428571428572,622.1428571428571,0.0,0.0,0.0,8.285714285714285,27.285714285714285,115.42857142857143,390.7142857142857,1242.142857142857,1234.142857142857,189.85714285714286,122.14285714285714,170.14285714285714,1073.2857142857142,1786.5714285714284,3265.285714285714,4474.857142857143,3116.5714285714284,3473.285714285714,3294.0,1132.0,0.0,0.0,0.0,2.571428571428571,9.142857142857142,34.285714285714285,89.0,352.8571428571429,595.7142857142858,228.85714285714286,30578.428571428572,3207.857142857143,21908.142857142855,1312.4285714285716
2020-03-23,181.0,200.0,983.0,1988.0,3601.0,6276.0,6943.0,7458.0,4930.0,678.0,0.0,0.0,0.0,9.0,31.0,129.0,437.0,1371.0,1358.0,208.0,135.0,184.0,1166.0,1952.0,3572.0,4887.0,3405.0,3782.0,3590.0,1242.0,0.0,0.0,0.0,3.0,10.0,38.0,99.0,390.0,656.0,253.0,33238.0,3543.0,23915.0,1449.0
2020-03-24,202.0,220.33333333333334,1056.3333333333333,2147.0,3933.0,6850.0,7547.0,8075.0,5351.666666666667,747.6666666666666,0.0,0.0,0.0,10.666666666666666,37.0,149.33333333333334,493.3333333333333,1529.3333333333333,1508.0,229.66666666666666,150.0,205.66666666666666,1280.6666666666667,2132.6666666666665,3904.6666666666665,5370.333333333333,3734.6666666666665,4115.0,3971.3333333333335,1374.6666666666667,0.0,0.0,0.0,3.0,12.666666666666666,42.666666666666664,117.33333333333333,445.0,735.3333333333334,280.0,36130.0,3957.3333333333335,26239.666666666668,1636.0
2020-03-25,223.0,240.66666666666666,1129.6666666666667,2306.0,4265.0,7424.0,8151.0,8692.0,5773.333333333333,817.3333333333334,0.0,0.0,0.0,12.333333333333334,43.0,169.66666666666666,549.6666666666666,1687.6666666666667,1658.0,251.33333333333334,165.0,227.33333333333334,1395.3333333333333,2313.3333333333335,4237.333333333333,5853.666666666667,4064.3333333333335,4448.0,4352.666666666667,1507.3333333333333,0.0,0.0,0.0,3.0,15.333333333333332,47.333333333333336,135.66666666666666,500.0,814.6666666666666,307.0,39022.0,4371.666666666667,28564.333333333332,1823.0
2020-03-26,244.0,261.0,1203.0,2465.0,4597.0,7998.0,8755.0,9309.0,6195.0,887.0,0.0,0.0,0.0,14.0,49.0,190.0,606.0,1846.0,1808.0,273.0,180.0,249.0,1510.0,2494.0,4570.0,6337.0,4394.0,4781.0,4734.0,1640.0,0.0,0.0,0.0,3.0,18.0,52.0,154.0,555.0,894.0,334.0,41914.0,4786.0,30889.0,2010.0
2020-03-27,264.0,293.75,1310.0,2625.0,4898.25,8515.5,9252.25,9790.75,6553.75,955.25,0.0,0.0,0.25,15.0,53.25,216.0,685.25,2033.75,2006.75,310.75,200.0,279.5,1665.5,2708.5,4977.0,6876.5,4691.5,5121.25,5176.5,1831.0,0.0,0.0,0.25,2.75,19.25,57.5,174.5,629.75,1015.0,379.0,44458.5,5321.0,33527.25,2278.0
2020-03-28,284.0,326.5,1417.0,2785.0,5199.5,9033.0,9749.5,10272.5,6912.5,1023.5,0.0,0.0,0.5,16.0,57.5,242.0,764.5,2221.5,2205.5,348.5,220.0,310.0,1821.0,2923.0,5384.0,7416.0,4989.0,5461.5,5619.0,2022.0,0.0,0.0,0.5,2.5,20.5,63.0,195.0,704.5,1136.0,424.0,47003.0,5856.0,36165.5,2546.0
2020-03-29,304.0,359.25,1524.0,2945.0,5500.75,9550.5,10246.75,10754.25,7271.25,1091.75,0.0,0.0,0.75,17.0,61.75,268.0,843.75,2409.25,2404.25,386.25,240.0,340.5,1976.5,3137.5,5791.0,7955.5,5286.5,5801.75,6061.5,2213.0,0.0,0.0,0.75,2.25,21.75,68.5,215.5,779.25,1257.0,469.0,49547.5,6391.0,38803.75,2814.0
2020-03-30,324.0,392.0,1631.0,3105.0,5802.0,10068.0,10744.0,11236.0,7630.0,1160.0,0.0,0.0,1.0,18.0,66.0,294.0,923.0,2597.0,2603.0,424.0,260.0,371.0,2132.0,3352.0,6198.0,8495.0,5584.0,6142.0,6504.0,2404.0,0.0,0.0,1.0,2.0,23.0,74.0,236.0,854.0,1378.0,514.0,52092.0,6926.0,41442.0,3082.0
2020-03-31,343.0,419.6666666666667,1727.0,3238.3333333333335,6028.0,10428.333333333334,11083.0,11584.333333333334,7937.666666666667,1231.3333333333333,0.0,0.0,2.0,19.333333333333332,71.0,321.6666666666667,996.6666666666666,2780.0,2821.6666666666665,468.6666666666667,275.6666666666667,398.6666666666667,2265.0,3529.6666666666665,6508.666666666667,8898.666666666666,5807.333333333333,6384.0,6884.0,2593.6666666666665,0.0,0.0,1.3333333333333333,3.666666666666667,25.0,82.66666666666667,257.0,916.3333333333334,1507.6666666666667,573.3333333333334,54020.666666666664,7481.0,43545.333333333336,3367.0
2020-04-01,362.0,447.3333333333333,1823.0,3371.6666666666665,6254.0,10788.666666666666,11422.0,11932.666666666666,8245.333333333334,1302.6666666666667,0.0,0.0,3.0,20.666666666666668,76.0,349.3333333333333,1070.3333333333333,2963.0,3040.3333333333335,513.3333333333334,291.3333333333333,426.3333333333333,2398.0,3707.3333333333335,6819.333333333333,9302.333333333334,6030.666666666667,6626.0,7264.0,2783.3333333333335,0.0,0.0,1.6666666666666665,5.333333333333334,27.0,91.33333333333333,278.0,978.6666666666666,1637.3333333333333,632.6666666666666,55949.333333333336,8036.0,45648.666666666664,3652.0
